name,city,organisation,provision_number,comment
Ronnie Screwvala,Lucknow,Venture Capitalist,Preamble,"The Preamble’s focus on economic opportunity is the right one. A clear data protection law reduces regulatory risk, making the entire Indian market a more attractive destination for global capital. This is good for everyone."
Dilip Shanghvi,Kolkata,Industry Association,Section 12,"The severe penalties in Section 12 will disproportionately harm manufacturing and non-tech sectors that are new to digitalization. A more phased and supportive approach is needed to bring them into the fold without punishing them."
Indira Jaising,Hyderabad,Non-Profit Organization,Section 18,"We advocate for an explicit 'right to opt-out of algorithmic decision-making' to be included in Section 18. Citizens should not be subject to life-altering decisions made by opaque, unaudited algorithms."
P. Sainath,Jaipur,Journalist,Section 30,"The most critical story is the exemption for law enforcement in Section 30. We will be filing RTIs to understand the procedural safeguards that will be in place to prevent the misuse of this broad power."
Zia Mody,Mumbai,Corporate Law Firm,Clause 25,"The power of the Data Protection Board to issue codes of practice under Clause 25 is a positive development. This allows for industry-specific guidance that is more practical than a one-size-fits-all law."
Sudha Murthy,Chennai,Citizen,Section 21,"The dispute resolution process is still too confusing. I read the summary, and I have no idea how I would even start a complaint. It needs to be simple, like calling a customer service number."
Ram Jethmalani,Delhi,Government Official,Preamble,"This Preamble lays the foundation for a new era of trust and transparency in India's digital journey. It is a promise to our citizens that their rights will be protected as we build a modern, prosperous nation."
Lalita Kumar,Ahmedabad,Small Business Owner,Section 6,"I can't afford a lawyer to write a perfect consent form for Section 6. The government should provide simple, pre-approved templates for small businesses to use. Without that, this is just a trap."
Pratap Mehta,Pune,Academic/Researcher,Section 21,"The dispute resolution body's independence is paramount. Its funding and appointment mechanisms, detailed in Section 21, must be shielded from political interference to ensure its credibility and effectiveness."
Naina Lal Kidwai,Lucknow,Venture Capitalist,Section 12,"The lack of a 'safe harbor' for companies that adhere to approved certification mechanisms is a major flaw in Section 12. This disincentivizes proactive compliance and focuses only on punishment."
M.K. Venu,Jaipur,Journalist,Clause 15,"Our investigation will focus on the 'significant harm' threshold for breach notifications in Clause 15. How this is defined will determine whether companies report most breaches or only a tiny fraction."
Kiran Mazumdar-Shaw,Kolkata,Industry Association,Clause 8.3,"A clear framework for 'adequacy' status, as mentioned in Clause 8.3, is urgently needed. This will allow for seamless data flows with key trading partners like the EU and the US, which is vital for our IT sector."
Medha Patkar,Hyderabad,Non-Profit Organization,Section 30,"The exemption for journalistic purposes in Section 30 is vital for press freedom. However, it needs a clear definition to prevent it from being misused by malicious actors masquerading as media."
Bhavish Aggarwal,Bengaluru,Tech Startup,Clause 4.1,"The financial and human resource cost of complying with 'significant data fiduciary' obligations under Clause 4.1 is immense. A phased approach, with obligations scaling with company size, would be more sustainable."
Menaka Guruswamy,Mumbai,Corporate Law Firm,Clause 15,"The interplay between breach notifications under Clause 15 and our client's cybersecurity insurance policies will be complex. We are advising clients to review their coverage immediately to ensure it aligns with these new obligations."
T. N. Ninan,Delhi,Government Official,Clause 25,"The establishment of a specialized Data Protection Board under Clause 25 is a landmark reform. It will build domestic expertise and capacity in data governance, which is essential for our digital future."
Kishore Biyani,Ahmedabad,Small Business Owner,Section 12,"I am an honest businessman. The penalties in Section 12 treat everyone like a criminal. This atmosphere of fear is not good for business or for the country. It is deeply demoralizing."
Chitra Ramkrishna,Chennai,Citizen,Section 6,"I'm glad that Section 6 will require consent to be in clear and plain language. I'm tired of trying to read legal documents that are designed to be confusing. This is a big win for ordinary people."

